filename	content_locations	use_xml	location_sentences	clean_content_loc	geocode_lat	geocode_lon	geocode_str	geocode_type
HOANG-PHI, LAM-DAO et al. - SENTINEL1 SAR TIME SERIESBASED ASSESSMENT	Mekong Delta	False	The Mekong Delta is the delta with the largest area in Vietnam (40,816.4 km2) [4] and is considered the rice granary of the country.	Mekong Delta	10.063363	105.5943388	Mekong River Delta, Vietnam	APPROXIMATE
HOANG-PHI, LAM-DAO et al. - SENTINEL1 SAR TIME SERIESBASED ASSESSMENT	Vietnam (	False	The Mekong Delta is the delta with the largest area in Vietnam (40,816.4 km2) [4] and is considered the rice granary of the country.	Vietnam	14.058324	108.277199	Vietnam	APPROXIMATE
HUTT, WALDHOFF et al. - FUSION OF SENTINEL1 WITH OFFICIAL	Belgium	False	The project has a deﬁned study area situated at the German borders with Belgium and the Netherlands (compare Figure 1).	Belgium	50.503887	4.469936	Belgium	APPROXIMATE
HUTT, WALDHOFF et al. - FUSION OF SENTINEL1 WITH OFFICIAL	Netherlands (	False	The project has a deﬁned study area situated at the German borders with Belgium and the Netherlands (compare Figure 1).	Netherlands	52.132633	5.291265999999999	Netherlands	APPROXIMATE
JAIN, SAXENA et al. - RICE KHARIF PRODUCTION ESTIMATION USING	India	True	India is one of the largest producers of rice in the world, accounting for 20% of all world rice production.	India	20.593684	78.96288	India	APPROXIMATE
JAIN, SAXENA et al. - RICE KHARIF PRODUCTION ESTIMATION USING	northeast India	True	It is grown in coastal areas, deltaic regions, northern plains and northeast India.	northeast India	25.5736012	93.24725649999999	Northeast India	APPROXIMATE
JAIN, SAXENA et al. - RICE KHARIF PRODUCTION ESTIMATION USING	Andhra Pradesh, Assam, Bihar, Chhattisgarh, Karnataka, Haryana,	True	The states are Andhra Pradesh, Assam, Bihar, Chhattisgarh, Karnataka, Haryana, Jharkhand, Madhya Pradesh, Odisha, Punjab, Telangana, Tamil Nadu, Uttar Pradesh and West Bengal (Figure 1).	Andhra Pradesh, Assam, Bihar, Chhattisgarh, Karnataka, Haryana	15.3172775	75.7138884	Karnataka, India	APPROXIMATE
JAIN, SAXENA et al. - RICE KHARIF PRODUCTION ESTIMATION USING	Madhya Pradesh, Odisha, Punjab, Telangana, Tamil Nadu, Uttar Pradesh	True	The states are Andhra Pradesh, Assam, Bihar, Chhattisgarh, Karnataka, Haryana, Jharkhand, Madhya Pradesh, Odisha, Punjab, Telangana, Tamil Nadu, Uttar Pradesh and West Bengal (Figure 1).	Madhya Pradesh, Odisha, Punjab, Telangana, Tamil Nadu, Uttar Pradesh	31.1471305	75.34121789999999	Punjab, India	APPROXIMATE
JAIN, SAXENA et al. - RICE KHARIF PRODUCTION ESTIMATION USING	West Bengal (	True	The states are Andhra Pradesh, Assam, Bihar, Chhattisgarh, Karnataka, Haryana, Jharkhand, Madhya Pradesh, Odisha, Punjab, Telangana, Tamil Nadu, Uttar Pradesh and West Bengal (Figure 1).	West Bengal	22.9867569	87.8549755	West Bengal, India	APPROXIMATE
JAIN, SAXENA et al. - RICE KHARIF PRODUCTION ESTIMATION USING	Assam, Bihar, Chhattisgarh,	True	The states are Andhra Pradesh, Assam, Bihar, Chhattisgarh, Karnataka, Haryana, Jharkhand, Madhya Pradesh, Odisha, Punjab, Telangana, Tamil Nadu, Uttar Pradesh and West Bengal (Figure 1).	Assam, Bihar, Chhattisgarh	26.1960626	86.4048088	Asam, Bihar, India	APPROXIMATE
JAIN, SAXENA et al. - RICE KHARIF PRODUCTION ESTIMATION USING	Madhya Pradesh, Orissa, Eastern Uttar Pradesh	True	The eastern and north-eastern region comprising of Assam, Bihar, Chhattisgarh, Jharkhand, Madhya Pradesh, Orissa, Eastern Uttar Pradesh and West Bengal receive high rainfall in monsoon season and rice is grown for the most part under rain fed conditions.	Madhya Pradesh, Orissa, Eastern Uttar Pradesh	20.9516658	85.0985236	Odisha, India	APPROXIMATE
KARILA, NEVALAINEN et al. - MONITORING CHANGES IN RICE CULTIVATED	South China Sea in Vietnam	True	          Ben Tre and Tra Vinh provinces (Figure 1) are located on the coast of the South China Sea in Vietnam.	South China Sea in Vietnam	14.058324	108.277199	Vietnam	APPROXIMATE
KARILA, NEVALAINEN et al. - MONITORING CHANGES IN RICE CULTIVATED	Mekong Delta region, Vietnam,	True	In the Mekong Delta region, Vietnam, salinity intrusion occurs in ocean coastal areas, where saline water moves into freshwater aquifers.	Mekong Delta region, Vietnam	10.063363	105.5943388	Mekong River Delta, Vietnam	APPROXIMATE
KPIENBAAREH, SUN et al. - CROP TYPE AND LAND COVER	northern Malawi (	True	          The study was conducted in the Edundu village area (land area = ~29 km2) with center location of latitude 11 22.5450 S, longitude 33 46.9820 E, and Thimalala village area (land area = ~22 km2) with center location of latitude 11 16.7360 S, longitude 33 50.9950 E, in northern Malawi (Figure 1).	northern Malawi	-10.9625469	34.1531947	Northern Region, Malawi	APPROXIMATE
KPIENBAAREH, SUN et al. - CROP TYPE AND LAND COVER	Mzimba	True	The study locations are in the Mzimba district in northern Malawi.	Mzimba	-11.7475452	33.5280072	Mzimba, Malawi	APPROXIMATE
KPIENBAAREH, SUN et al. - CROP TYPE AND LAND COVER	Malawi	True	          The study was conducted in the Edundu village area (land area = ~29 km2) with center location of latitude 11 22.5450 S, longitude 33 46.9820 E, and Thimalala village area (land area = ~22 km2) with center location of latitude 11 16.7360 S, longitude 33 50.9950 E, in northern Malawi (Figure 1).	Malawi	-13.254308	34.301525	Malawi	APPROXIMATE
KRAATZ, ROSE et al. - PERFORMANCE EVALUATION OF UAVSAR	Lower Mississippi River Basin	True	The study area is located in the Lower Mississippi River Basin and is part of the Big Sunflower River watershed within the Yazoo River Basin.	Lower Mississippi River Basin	38.33490474047736	-92.21139142634433	Mississippi River, United States	APPROXIMATE
KRAATZ, ROSE et al. - PERFORMANCE EVALUATION OF UAVSAR	Yazoo River Basin	True	The study area is located in the Lower Mississippi River Basin and is part of the Big Sunflower River watershed within the Yazoo River Basin.	Yazoo River Basin	32.3354241	-90.8973269	Yazoo River, Louisiana 71282, USA	APPROXIMATE
KRAATZ, ROSE et al. - PERFORMANCE EVALUATION OF UAVSAR	Stoneville in Washington County, MS	True	The study area (“Stoneville Site” in Figure 1) is located near Stoneville in Washington County, MS.	Stoneville in Washington County, MS	33.4240055	-90.9151014	Stoneville, MS 38776, USA	APPROXIMATE
KRAATZ, TORBICK et al. - COMPARISON BETWEEN DENSE LBAND	Canada	True	          The region of interest (ROI) for this study is situated in an area of agricultural importance to Canada.	Canada	56.130366	-106.346771	Canada	APPROXIMATE
KRAATZ, TORBICK et al. - COMPARISON BETWEEN DENSE LBAND	southwestern Manitoba, CA,	True	Carman is located in southwestern Manitoba, CA, and this region has been a long term site of SAR research dating back to the Shuttle Imaging Radar C (SIR-C) mission.	southwestern Manitoba, CA	53.7608608	-98.81387629999999	Manitoba, Canada	APPROXIMATE
KUMARI, MURTHY et al. - SOYBEAN CROPLAND MAPPING USING MULTITEMPORAL	Ujjain	True	Ujjain district is situated in the heart of Malwa Plateau, Madhya Pradesh at a general elevation of 527 meter above mean sea level.	Ujjain	23.1764665	75.7885163	Ujjain, Madhya Pradesh, India	APPROXIMATE
KUMARI, MURTHY et al. - SOYBEAN CROPLAND MAPPING USING MULTITEMPORAL	Malwa Plateau, Madhya Pradesh at	True	Ujjain district is situated in the heart of Malwa Plateau, Madhya Pradesh at a general elevation of 527 meter above mean sea level.	Malwa Plateau, Madhya Pradesh	24	76	Altiplà de Malwa, Dongargaon Susner, Madhya Pradesh 465447	APPROXIMATE
LARRANAGA, ALVAREZ-MOZOS - ON THE ADDED VALUE	Pamplona (	True	The study site corresponds to the agricultural areas surrounding the city of Pamplona (Figure 1), in central Navarre (North of Spain).	Pamplona	42.812526	-1.6457745	Pamplona, Navarre, Spain	APPROXIMATE
LAURILA, KARJALAINEN et al. - INTEGRATING VEGETATION INDICES MODELS	southern Finland	False	no exact sentence match	southern Finland	60.63987580000001	26.1285786	Southern Finland, Finland	APPROXIMATE
LI, ZHANG et al. - CROP CLASSIFICATION FROM FULLYEAR FULLYPOLARIMETRIC	Sacramento Valley, USA	True	          The study area of this research is located at an agricultural region in the middle of the Sacramento Valley, USA.	Sacramento Valley, USA	37.09024	-95.712891	United States	APPROXIMATE
LI, ZHANG et al. - CROP CLASSIFICATION FROM FULLYEAR FULLYPOLARIMETRIC	Solano	True	It stretches over Solano and Yolo counties of California, with a size of about 11 km × 17 km (Fig.	Solano	38.3104969	-121.9017954	Solano County, CA, USA	APPROXIMATE
LI, ZHANG et al. - CROP CLASSIFICATION FROM FULLYEAR FULLYPOLARIMETRIC	Yolo counties of California,	True	It stretches over Solano and Yolo counties of California, with a size of about 11 km × 17 km (Fig.	Yolo counties of California	38.7646021	-121.9017954	Yolo County, CA, USA	APPROXIMATE
LI, ZHANG et al. - CROP CLASSIFICATION FROM FULLYEAR FULLYPOLARIMETRIC	Mediterranean,	True	The climate of this area is characterized as Mediterranean, with dry hot summers and wet cool winters                       .	Mediterranean	34.5531284	18.0480105	Mediterranean Sea	APPROXIMATE
LIAO, WANG et al. - SYNERGISTIC USE OF MULTITEMPORAL RADARSAT2	Ontario (	True	The study site is located in the agricultural area in Mixedwood Plains Ecozone Southwestern The study site is located in the agricultural area in Mixedwood Plains Ecozone Southwestern Ontario (Figure 1), characterized by an abundant water supply and productive soils for agriculture.	Ontario	51.253775	-85.3232139	Ontario, Canada	APPROXIMATE
LIU, CHEN et al. - THE RESEARCH ON DRYLAND CROP	Nangong County	True	Nangong County is selected as the study area, which belongs to Xingtai City (113°52′E~115°49′E and 36°50′N~37°47′N).	Nangong County	37.3579499	115.40866	Nangong, Xingtai, Hebei, China	APPROXIMATE
LIU, CHEN et al. - THE RESEARCH ON DRYLAND CROP	Xingtai City (	True	Nangong County is selected as the study area, which belongs to Xingtai City (113°52′E~115°49′E and 36°50′N~37°47′N).	Xingtai City	37.0705499	114.50443	Xingtai, Hebei, China	APPROXIMATE
LIU, CHEN et al. - THE RESEARCH ON DRYLAND CROP	Hebei Province, China	True	The county lies in the main grain producing area of Hebei Province, China.	Hebei Province, China	38.0359899	114.46979	Hebei, China	APPROXIMATE
LIU, CHEN et al. - THE RESEARCH ON DRYLAND CROP	French Guiana	True	Sentinel-1A is the first environmental satellite of the Copernicus global monitoring programme and was launched at April 3rd, 2014 in French Guiana.	French Guiana	3.933889	-53.125782	French Guiana	APPROXIMATE
LOPEZ-ANDREU, ERENA et al. - SENTINEL2 IMAGES AND MACHINE LEARNING	Spain,	True	         The area of interest for CbM—of the aid line associated with rice cultivation—is in the southeast of Spain, specifically in Calasparra (Coordinates: 38.13, 1.42) [                   ], which has an average elevation of between 300 and 500 m above sea level.	Spain	40.46366700000001	-3.74922	Spain	APPROXIMATE
LOPEZ-ANDREU, ERENA et al. - SENTINEL2 IMAGES AND MACHINE LEARNING	Murcia,	True	It is a homogeneous rice planting area with an approximate extension of 10 km 15 km, located in the northwest of Murcia, as shown in Figure 1.	Murcia	37.9922399	-1.1306544	Murcia, Spain	APPROXIMATE
LU, TAO et al. - OBJECTBASED PLASTICMULCHED LANDCOVER EXTRACTION USING	northern Xinjiang, China	True	A region in northern Xinjiang, China was chosen as the study area and covered a large area of cottoAn frielgdiownhienrenporlathsteircnmXuilncjhi ainngg,isCuhsienda 1w0a0%s.chTohseenregaiso nthies stituudaytedareina Sahnidheczoi vCeirteydbaet wlaeregne a4r4e°a24o′2f3c″oNtt–o4n4°fi41e′l1d2″wNhearnedp8la5s°t4i4c′1m9″uElc–h8i6n°g20i′s19u″sEedw1it0h0 %an.	northern Xinjiang, China	43.7934299	87.6271	Xinjiang, China	APPROXIMATE
LUSSEM, HUTT et al. - COMBINED ANALYSIS OF SENTINEL1	Germany	True	The study area is part of the Rur-Watershed in North RhineWestphalia, Germany.	Germany	51.165691	10.451526	Germany	APPROXIMATE
LUSSEM, HUTT et al. - COMBINED ANALYSIS OF SENTINEL1	North Rhine-Westphalia	True	For a more accurate crop type classification an additional dataset of agricultural boundaries provided by the agricultural chamber of North Rhine-Westphalia was implemented to separate agricultural land and pasture from other land use/land cover (LULC) types (Waldhoff et al., 2012).	North Rhine-Westphalia	51.43323669999999	7.661593799999999	North Rhine-Westphalia, Germany	APPROXIMATE
MAHDIANPARI, MOHAMMADIMANESH et al. - MIDSEASON CROP CLASSIFICATION USING DUAL	Manitoba	True	The study area is an agricultural area located in the Red River Watershed, Manitoba, Canada (Figure 1).	Manitoba	53.7608608	-98.81387629999999	Manitoba, Canada	APPROXIMATE
MASHABA-MUNGHEMEZULU, CHIRIMA et al. - DELINEATING SMALLHOLDER MAIZE FARMS	Makhuduthamaga	True	          The field data were collected from the Makhuduthamaga district in Limpopo, South Africa (Figure 1).	Makhuduthamaga	-24.7349678	29.8352303	Makhuduthamaga Local Municipality, South Africa	APPROXIMATE
MASHABA-MUNGHEMEZULU, CHIRIMA et al. - DELINEATING SMALLHOLDER MAIZE FARMS	Limpopo, South Africa (	True	          The field data were collected from the Makhuduthamaga district in Limpopo, South Africa (Figure 1).	Limpopo, South Africa	-23.4012946	29.4179324	Limpopo, South Africa	APPROXIMATE
MEHTA, PARIHAR et al. - DISCRIMINATION BETWEEN BABUL PLANTATIONS	Jaisalmer	True	The study area lies in Jaisalmer district, Rajasthan (Fig.	Jaisalmer	26.9157487	70.9083443	Jaisalmer, Rajasthan 345001, India	APPROXIMATE
MEHTA, PARIHAR et al. - DISCRIMINATION BETWEEN BABUL PLANTATIONS	Rajasthan (	True	The study area lies in Jaisalmer district, Rajasthan (Fig.	Rajasthan	27.0238036	74.21793260000001	Rajasthan, India	APPROXIMATE
MEHTA, PARIHAR et al. - DISCRIMINATION BETWEEN BABUL PLANTATIONS	Thar Desert	True	The area forms a part of Thar Desert.	Thar Desert	27.4694892	70.6216794	Thar Desert, Rajasthan	APPROXIMATE
MINH, AVTAR et al. - MONITORING AND MAPPING OF RICE	Giang province,	True	          The study site is located in the An Giang province, which belongs to upstream of the Lower Mekong river basin in Vietnam (Figure 1).	Giang province	10.5215836	105.1258955	An Giang, Vietnam	APPROXIMATE
MINH, AVTAR et al. - MONITORING AND MAPPING OF RICE	Lower Mekong river	True	          The study site is located in the An Giang province, which belongs to upstream of the Lower Mekong river basin in Vietnam (Figure 1).	Lower Mekong river	15.93358942004928	103.4492837629503	Mekong River	APPROXIMATE
MINH, AVTAR et al. - MONITORING AND MAPPING OF RICE	Vietnam (	True	          The study site is located in the An Giang province, which belongs to upstream of the Lower Mekong river basin in Vietnam (Figure 1).	Vietnam	14.058324	108.277199	Vietnam	APPROXIMATE
MINH, AVTAR et al. - MONITORING AND MAPPING OF RICE	Bassac	True	The rice production depends heavily on the freshwater availability and sediment supplied from the Bassac and Mekong Rivers [                       ].	Bassac	45.663292	-0.104503	16120 Bassac, France	APPROXIMATE
MINH, AVTAR et al. - MONITORING AND MAPPING OF RICE	Cambodia in the Northwest	True	An Giang has an area of 3406 sq.km and borders with Cambodia in the Northwest.	Cambodia in the Northwest	12.565679	104.990963	Cambodia	APPROXIMATE
MIRZAEE, MOTAGH et al. - CLASSIFICATION OF AGRICULTURAL FIELDS USING	north east of Doroud city in Lorestan province, Iran	True	Our test site is located in the north east of Doroud city in Lorestan province, Iran.	north east of Doroud city in Lorestan province, Iran	25.5736012	93.24725649999999	Northeast India	APPROXIMATE
MOHITE, SAWANT et al. - OPERATIONAL NEAR REAL TIME RICE	Guntur, Krishna, West	True	         The study on rice area mapping has been carried out in the four districts from coastal AP namely Guntur, Krishna, West and East Godavari.	Guntur, Krishna, West	16.3066525	80.4365402	Guntur, Andhra Pradesh, India	APPROXIMATE
MOHITE, SAWANT et al. - OPERATIONAL NEAR REAL TIME RICE	East Godavari	True	         The study on rice area mapping has been carried out in the four districts from coastal AP namely Guntur, Krishna, West and East Godavari.	East Godavari	17.32125	82.0407137	East Godavari, Andhra Pradesh, India	APPROXIMATE
MOHITE, SAWANT et al. - OPERATIONAL NEAR REAL TIME RICE	Andhra Pradesh	True	In this study we have used Sentinel-1A and 1B satellite imagery, GLC dataset                   developed by ESA, ground truth data collected from the field visits and mKRISHI R and crop acreage statistics from department of agriculture, Andhra Pradesh.	Andhra Pradesh	15.9128998	79.7399875	Andhra Pradesh, India	APPROXIMATE
MOHITE, SAWANT et al. - WHEAT AREA MAPPING AND PHENOLOGY	Punjab	True	The study area is located in Punjab and Haryana states of India (Figure 1).	Punjab	31.1471305	75.34121789999999	Punjab, India	APPROXIMATE
MOHITE, SAWANT et al. - WHEAT AREA MAPPING AND PHENOLOGY	Haryana states of India (	True	The study area is located in Punjab and Haryana states of India (Figure 1).	Haryana states of India	29.0587757	76.085601	Haryana, India	APPROXIMATE
MOHITE, SAWANT et al. - WHEAT AREA MAPPING AND PHENOLOGY	Bhatinda, Fatehgarh Sahib, Ludhiana, Mansa, Moga, Patiala, Rupnagar	True	The districts selected from the Punjab are Bhatinda, Fatehgarh Sahib, Ludhiana, Mansa, Moga, Patiala, Rupnagar and Sangrur.	Bhatinda, Fatehgarh Sahib, Ludhiana, Mansa, Moga, Patiala, Rupnagar	30.3397809	76.3868797	Patiala, Punjab, India	APPROXIMATE
MOHITE, SAWANT et al. - WHEAT AREA MAPPING AND PHENOLOGY	Sangrur	True	The districts selected from the Punjab are Bhatinda, Fatehgarh Sahib, Ludhiana, Mansa, Moga, Patiala, Rupnagar and Sangrur.	Sangrur	30.1591092	75.7604058	Sangrur, Punjab	APPROXIMATE
MOHITE, SAWANT et al. - WHEAT AREA MAPPING AND PHENOLOGY	Ambala,	True	The districts such as Ambala, Sonepat, Yamunanagar, Kaithal, Karnal, Kurukshetra, Panchkula and Panipat are selected from Haryana.	Ambala	30.3752011	76.782122	Ambala, Haryana, India	APPROXIMATE
MOHITE, SAWANT et al. - WHEAT AREA MAPPING AND PHENOLOGY	Yamunanagar, Kaithal,	True	The districts such as Ambala, Sonepat, Yamunanagar, Kaithal, Karnal, Kurukshetra, Panchkula and Panipat are selected from Haryana.	Yamunanagar, Kaithal	29.8042758	76.4039016	Kaithal, Haryana 136027, India	APPROXIMATE
MOHITE, SAWANT et al. - WHEAT AREA MAPPING AND PHENOLOGY	Kurukshetra, Panchkula	True	The districts such as Ambala, Sonepat, Yamunanagar, Kaithal, Karnal, Kurukshetra, Panchkula and Panipat are selected from Haryana.	Kurukshetra, Panchkula	30.6942091	76.860565	Panchkula, Haryana, India	APPROXIMATE
MOHITE, SAWANT et al. - WHEAT AREA MAPPING AND PHENOLOGY	Panipat	True	The districts such as Ambala, Sonepat, Yamunanagar, Kaithal, Karnal, Kurukshetra, Panchkula and Panipat are selected from Haryana.	Panipat	29.3909464	76.9635023	Panipat, Haryana, India	APPROXIMATE
MOHITE, SAWANT et al. - WHEAT AREA MAPPING AND PHENOLOGY	India,	True	Wheat is one of the important cereal crops cultivated all across India, with PunjabHaryana being the prime contributor states to the total production.	India	20.593684	78.96288	India	APPROXIMATE
MOUMNI, LAHROUNI - MACHINE LEARNINGBASED CLASSIFICATION FOR CROPTYPE	Haouz	True	)e plain of Haouz is a vast plain of 6000 km 2 of surface which stretches over a length of approximately 150 km from east to west in the region of Marrakech-Safi located in central Morocco and including part of the HautAtlas.	Haouz	31.2956729	-7.872159999999999	Al Haouz, Morocco	APPROXIMATE
MOUMNI, LAHROUNI - MACHINE LEARNINGBASED CLASSIFICATION FOR CROPTYPE	Marrakech-Safi	True	)e plain of Haouz is a vast plain of 6000 km 2 of surface which stretches over a length of approximately 150 km from east to west in the region of Marrakech-Safi located in central Morocco and including part of the HautAtlas.	Marrakech-Safi	31.7330833	-8.1338558	Marrakesh-Safi, Morocco	APPROXIMATE
MOUMNI, LAHROUNI - MACHINE LEARNINGBASED CLASSIFICATION FOR CROPTYPE	central Morocco	True	)e plain of Haouz is a vast plain of 6000 km 2 of surface which stretches over a length of approximately 150 km from east to west in the region of Marrakech-Safi located in central Morocco and including part of the HautAtlas.	central Morocco	31.791702	-7.092619999999999	Morocco	APPROXIMATE
MOUMNI, LAHROUNI - MACHINE LEARNINGBASED CLASSIFICATION FOR CROPTYPE	Sidi Rahal region	True	        In this work, we are interested in the left part of the irrigated sectors, in the Haouz plain, called R3 perimeter and located in the Sidi Rahal region about 40 km east of the city of Marrakech (Figure 1).	Sidi Rahal region	31.6460703	-7.4732991	Sidi Rahhal, Morocco	APPROXIMATE
MOUMNI, LAHROUNI - MACHINE LEARNINGBASED CLASSIFICATION FOR CROPTYPE	Marrakech (	True	        In this work, we are interested in the left part of the irrigated sectors, in the Haouz plain, called R3 perimeter and located in the Sidi Rahal region about 40 km east of the city of Marrakech (Figure 1).	Marrakech	31.6294723	-7.981084500000001	Marrakesh, Morocco	APPROXIMATE
MURAD - INVESTIGATION OF THE GROUNDWATER SUITABILITY	UAE	True	The UAE is located in the southeastern part of the Arabian Peninsula between latitudes 22° 40’ and 26° 00’ N and longitudes 51° 00’ and 56° 00’ E. The study area namely Al Hayer is situated within the northern part of Al Ain area and northeastern part of Abu Dhabi Emirate (Fig.	UAE	23.424076	53.847818	United Arab Emirates	APPROXIMATE
MURAD - INVESTIGATION OF THE GROUNDWATER SUITABILITY	Arabian Peninsula	True	The UAE is located in the southeastern part of the Arabian Peninsula between latitudes 22° 40’ and 26° 00’ N and longitudes 51° 00’ and 56° 00’ E. The study area namely Al Hayer is situated within the northern part of Al Ain area and northeastern part of Abu Dhabi Emirate (Fig.	Arabian Peninsula	19.4914108	47.4490397	Arabia	APPROXIMATE
MURAD - INVESTIGATION OF THE GROUNDWATER SUITABILITY	Al Ain	True	The UAE is located in the southeastern part of the Arabian Peninsula between latitudes 22° 40’ and 26° 00’ N and longitudes 51° 00’ and 56° 00’ E. The study area namely Al Hayer is situated within the northern part of Al Ain area and northeastern part of Abu Dhabi Emirate (Fig.	Al Ain	24.1301619	55.8023118	Al Ain - Abu Dhabi - United Arab Emirates	APPROXIMATE
MURAD - INVESTIGATION OF THE GROUNDWATER SUITABILITY	Abu Dhabi Emirate (	True	The UAE is located in the southeastern part of the Arabian Peninsula between latitudes 22° 40’ and 26° 00’ N and longitudes 51° 00’ and 56° 00’ E. The study area namely Al Hayer is situated within the northern part of Al Ain area and northeastern part of Abu Dhabi Emirate (Fig.	Abu Dhabi Emirate	24.453884	54.3773438	Abu Dhabi - United Arab Emirates	APPROXIMATE
MURAD - INVESTIGATION OF THE GROUNDWATER SUITABILITY	Hydrogeology Laboratory at UAE University	True	The collected water samples were transported to the Hydrogeology Laboratory at UAE University for further analyses.	Hydrogeology Laboratory at UAE University	24.200588	55.67603399999999	Sheik Khalifa Bin Zayed St - 'Asharij - Abu Dhabi - United Arab Emirates	GEOMETRIC_CENTER
MUSTAK, UDAY et al. - EVALUATION OF THE PERFORMANCE	Wayanad	True	The Sultan Bathery region of Wayanad district in the state of Kerala, both staple crops such as paddy and cash crops such as Coffee, Rubber, Coconut and Arecanut are grown.	Wayanad	11.6853575	76.1319953	Wayanad, Kerala, India	APPROXIMATE
MUSTAK, UDAY et al. - EVALUATION OF THE PERFORMANCE	Kerala,	True	The Sultan Bathery region of Wayanad district in the state of Kerala, both staple crops such as paddy and cash crops such as Coffee, Rubber, Coconut and Arecanut are grown.	Kerala	10.8505159	76.2710833	Kerala, India	APPROXIMATE
MUSTAK, UDAY et al. - EVALUATION OF THE PERFORMANCE	Bathery	True	The Sultan Bathery region of Wayanad district in the state of Kerala, both staple crops such as paddy and cash crops such as Coffee, Rubber, Coconut and Arecanut are grown.	Bathery	11.6629136	76.2570217	Sultan Bathery, Kerala, India	APPROXIMATE
MUTHUKUMARASAMY, SHANMUGAM et al. - SAR POLARIMETRIC DECOMPOSITION WITH ALOS	Ramgarh	True	The study area is located in Ramgarh village of Jaisalmer district in Rajasthan, India, with an aerial extent 2 of 143 km .	Ramgarh	23.6523678	85.56121	Ramgarh, Jharkhand, India	APPROXIMATE
MUTHUKUMARASAMY, SHANMUGAM et al. - SAR POLARIMETRIC DECOMPOSITION WITH ALOS	Jaisalmer	True	The study area is located in Ramgarh village of Jaisalmer district in Rajasthan, India, with an aerial extent 2 of 143 km .	Jaisalmer	26.9157487	70.9083443	Jaisalmer, Rajasthan 345001, India	APPROXIMATE
MUTHUKUMARASAMY, SHANMUGAM et al. - SAR POLARIMETRIC DECOMPOSITION WITH ALOS	Rajasthan, India,	True	The study area is located in Ramgarh village of Jaisalmer district in Rajasthan, India, with an aerial extent 2 of 143 km .	Rajasthan, India	27.0238036	74.21793260000001	Rajasthan, India	APPROXIMATE
MUTHUKUMARASAMY, SHANMUGAM et al. - SAR POLARIMETRIC DECOMPOSITION WITH ALOS	Thar Desert, the	True	Being a part of the great Thar Desert, the area is sandy, dry, unkind to all forms of life (www.	Thar Desert	27.4694892	70.6216794	Thar Desert, Rajasthan	APPROXIMATE
MUTHUKUMARASAMY, SHANMUGAM et al. - SAR POLARIMETRIC DECOMPOSITION WITH ALOS	Indira Gandhi Canal the northern	True	However, after the construction of the Indira Gandhi Canal the northern part of the district is irrigated and has become green.	Indira Gandhi Canal the northern	28.81374539597489	72.60423451069285	Indira Gandhi Canal	APPROXIMATE
MUTHUKUMARASAMY, SHANMUGAM et al. - SAR POLARIMETRIC DECOMPOSITION WITH ALOS	Alaska	True	All the three polarimetric decomposition parameters were orthorectified using satellite orbital information and external SRTM 3 arc-seconds digital elevation model (DEM) using Alaska Satellite Facility (ASF) MapReady tool.	Alaska	64.2008413	-149.4936733	Alaska, USA	APPROXIMATE
NAJIB, KANNIAH et al. - SYNERGY OF ACTIVE AND PASSIVE	Malaysia	True	Malaysia is a tropical maritime country located in Southeast Asia and consists of Peninsular	Malaysia	4.210484	101.975766	Malaysia	APPROXIMATE
NAJIB, KANNIAH et al. - SYNERGY OF ACTIVE AND PASSIVE	Southeast Asia	True	Malaysia is a tropical maritime country located in Southeast Asia and consists of Peninsular	Southeast Asia	-2.2179704	115.66283	South East Asia	APPROXIMATE
NAVARRO, ROLIM et al. - CROP MONITORING BASED ON SPOT5	Wako-Kungo (	False	The test area covers an irrigation perimeter close to the town of Wako-Kungo (11˝25133”S, 15˝06110”E), which is located in the Cela Municipality, South-Kwanza Province, Angola (Figure 1).	Wako-Kungo	-11.3618023	15.1200482	Waku Kungo, Angola	APPROXIMATE
NDIKUMANA, MINH et al. - DEEP RECURRENT NEURAL NETWORK	France,	False	The Camargue region, located in south-eastern France, is a coastal area of the Mediterranean Sea.	France	46.227638	2.213749	France	APPROXIMATE
NDIKUMANA, MINH et al. - DEEP RECURRENT NEURAL NETWORK	Mediterranean Sea	False	The Camargue region, located in south-eastern France, is a coastal area of the Mediterranean Sea.	Mediterranean Sea	34.5531284	18.0480105	Mediterranean Sea	APPROXIMATE
NDIKUMANA, MINH et al. - DEEP RECURRENT NEURAL NETWORK	Cevennes	False	Its climate has peculiarities related to its geographical location south of the Rhone corridor, between the Cevennes and the Southern Alps.	Cevennes	44.4317226	3.7027594	Cévennes, 48220 Pont-de-Montvert-Sud-Mont-Lozère, France	APPROXIMATE
NDIKUMANA, MINH et al. - DEEP RECURRENT NEURAL NETWORK	Southern Alps	False	Its climate has peculiarities related to its geographical location south of the Rhone corridor, between the Cevennes and the Southern Alps.	Southern Alps	-43.5	170.5	Southern Alps, Canterbury 7999, New Zealand	APPROXIMATE
NDIKUMANA, MINH et al. - DEEP RECURRENT NEURAL NETWORK	Camargue Regional Natural Park,	False	This zone covers the current perimeter of the Camargue Regional Natural Park, with an area of around 110,000 ha [24].	Camargue Regional Natural Park	43.6242125	4.5286327	Parc naturel régional de Camargue, Mas du pont de Rousty, RD 570, 13200 Arles, France	GEOMETRIC_CENTER
