filename_only	use_xml	title	title_locations	methods_sections	content_locations	content_locations_filtered	location_sentences
GAO, ZRIBI et al. - IRRIGATION MAPPING USING SENTINEL1 TIME	True	Irrigation Mapping Using Sentinel-1 Time Series at Field Scale		['2.2. Study Area', '3. Methodology']	Urgell, Catalonia, Spain (; Urgell; Mediterranean,; Baldomar	Urgell, Catalonia, Spain (; Urgell; Mediterranean,; Baldomar	['           The study area covers a 20 km by 20 km area, located in Urgell, Catalonia, Spain (Figure 2).', 'The Urgell climate is typically Mediterranean, with continental influence; it is mild in winter and warm in summer, with a very dry season in summer and two rainier seasons in autumn and spring [                       ].', 'Precipitation events at the Baldomar meteo station, which is the nearest one to our study area, are illustrated in Figure 3.']
GELLA, BIJKER et al. - MAPPING CROP TYPES IN COMPLEX	True	Mapping crop types in complex farming areas using SAR imagery with dynamic time warping Getachew Workineh Gella *, Wietske Bijker, Mariana Belgiu		['2. Materials and methods', '2.1. Study site']	Longitude; eastern Netherlands (; Ijssel; Netherlands; Netherlands,; European Space Agency (; AIRBUS	Longitude; eastern Netherlands (; Ijssel; Netherlands; Netherlands,	['Our study site was situated at 6◦ 45′ 39′′ to 7◦ 3′ 29′′ Longitude and 52◦ 15′ 5′′ to 52◦ 21′ 33′′ Latitude, in the eastern Netherlands (Over Ijssel province) (Fig.', '          Although the Netherlands is well-known for its well-planned agricultural landscape resulting from past land consolidation                       , the selected study site was characterized by irregular, relatively small plots (~0.08 ha) and fragmented holdings where crops dominate the landscape in a mixed pattern.', 'In the Netherlands, main crop production takes place from the middle of February to the end of September (Fig.']
GHASSEMI, DUJAKOVIC et al. - DESIGNING A EUROPEANWIDE CROP TYPE	True	Designing a European-Wide Crop Type Mapping Approach Based on Machine Learning Algorithms Using LUCAS Field Survey and Sentinel-2 Data		['2. Materials and Methods']			
GIORDANO, BAILLY et al. - IMPROVED CROP CLASSIFICATION WITH ROTATION	True	Improved Crop Classification with Rotation Knowledge using Sentinel-1 and -2 Time Series		['Study Sites']			
GUO, LI et al. - FEATURE DIMENSION REDUCTION USING STACKED	True	Feature Dimension Reduction Using Stacked Sparse Auto-Encoders for Crop Classification with Multi-Temporal, Quad-Pol SAR Data		['2. Methodology']	CNN; CNN; CNN		
HALDAR, DAS et al. - ASSESSMENT OF LBAND SAR DATA	True	ASSESSMENT OF L-BAND SAR DATA AT DIFFERENT POLARIZATION COMBINATIONS FOR CROP AND OTHER LANDUSE CLASSIFICATION		['2. STUDY AREA AND DATASETS', '3. METHODOLOGY']	Central State Farm; Hisar, Haryana (India); Japan Aerospace Exploration Agency (; SAC, India	Hisar, Haryana (India); SAC, India	['Central State Farm located in Hisar, Haryana (India) has been selected for the present study.', 'project carried out at SAC, India.']
HALDAR, PATNAIK - SYNERGISTIC USE OF MULTITEMPORAL RADARSAT	True	Synergistic use of Multi-temporal Radarsat SAR and AWiFS data for Rabi rice identification.		['Materials and methods', 'Study Area', 'Methodology']	India; Orissa, West Bengal, Andhra Pradesh; Karnataka; western Orissa; Baragarh; Sonepur	India; Orissa, West Bengal, Andhra Pradesh; Karnataka; western Orissa; Sonepur	['Unlike the wide extent of the Kharif rice producing states, rabi rice is confined to only four states in India where wheat growing environment lacks in the winter season.', 'The major states contributing to rabi rice area are Orissa, West Bengal, Andhra Pradesh and Karnataka.', 'The present study is an investigation pertaining to two major rabi rice producing districts of western Orissa viz.', 'Baragarh and Sonepur .']
HALDAR, PATNAIK et al. - JUTE AND TEA DISCRIMINATION	True	JUTE AND TEA DISCRIMINATION THROUGH FUSION OF SAR AND OPTICAL DATA		['2. STUDY AREA', '4. METHODOLOGY']	West Bengal; Jalpaiguri	West Bengal; Jalpaiguri	['The study area selected is northern part of West Bengal covering the District of Jalpaiguri.']
HARIHARAN, MANDAL et al. - A NOVEL PHENOLOGY BASED FEATURE	False	A Novel Phenology-based Feature Subset Selection Technique Using Random Forest for Multi-temporal PolSAR Crop Classification		[]			
HASITUYA, CHEN et al. - MAPPING PLASTICMULCHED FARMLAND WITH CBAND	True	Mapping Plastic-Mulched Farmland with C-Band Full Polarization SAR Remote Sensing Data		['2. Study Areas and Data']			
HEJMANOWSKA, KRAMARCZYK et al. - RELIABLE CROPS CLASSIFICATION USING LIMITED	True	Reliable Crops Classification Using Limited Number of Sentinel-2 and Sentinel-1 Images		['2. Materials and Methods', '2.1. Materials and Data Preparation']	central Poland, near; Agency for Restructuring and Modernisation of Agriculture (; Poland	central Poland, near; Poland	['          The test area of 625 square kilometers (25 km 25 km) was located in central Poland, near Poznan´ (Figure 2), and included 5500 agriculture parcels declared by farmers for the subsidies.', 'Data on farmers’ declarations were provided by Agency for Restructuring and Modernisation of Agriculture (ARMA) in Poland and included size of the agricultural parcel, type of crop, geometry of the agricultural parcel (polygon).']
HOANG, BERNIER et al. - CLASSIFICATION OF RICE FIELDS	True		no-title	['2. METHODOLOGY']	Thai Nguyen province, Northern Vietnam,	Thai Nguyen province, Northern Vietnam,	['The methods were applied on an agricultural region situated in Thai Nguyen province, Northern Vietnam, where the rice fields occupy more than 40% of the land.']
HOANG-PHI, LAM-DAO et al. - SENTINEL1 SAR TIME SERIESBASED ASSESSMENT	False	Sentinel-1 SAR Time Series-Based Assessment of the Impact of Severe Salinity Intrusion Events on Spatiotemporal Changes in Distribution of Rice Planting Areas in Coastal Provinces of the Mekong Delta, Vietnam	Mekong Delta, Vietnam	['2. Materials and Methods', '2.1. Study Area', '2.3. Methods']	Mekong Delta; Vietnam (; Rice; Trà Vinh, Sóc Trăng	Mekong Delta; Vietnam (	['The Mekong Delta is the delta with the largest area in Vietnam (40,816.4 km2) [4] and is considered the rice granary of the country.']
HUTT, KOPPE et al. - BEST ACCURACY LAND USELAND COVER	True	Best Accuracy Land Use/Land Cover (LULC) Classification to Derive Crop Types Using Multitemporal, Multisensor, and Multi-Polarization SAR Satellite Images		['2. Study Area and Data']	northeast China, in the	northeast China, in the	['         The study area is the Qixing farm, situated in northeast China, in the Sanjiang Plain (Figure 1).']
HUTT, WALDHOFF et al. - FUSION OF SENTINEL1 WITH OFFICIAL	False	Fusion of Sentinel-1 with Official Topographic and Cadastral Geodata for Crop-Type Enriched LULC Mapping Using FOSS and Open Data		['2. Study Site and Data', '3. Methods']	Belgium; Netherlands (	Belgium; Netherlands (	['The project has a deﬁned study area situated at the German borders with Belgium and the Netherlands (compare Figure 1).']
INGLADA, VINCENT et al. - IMPROVED EARLY CROP TYPE IDENTIFICATION	True	Improved Early Crop Type Identification By Joint Use of High Temporal Resolution SAR And Optical Image Time Series		['3. Methodology']			
JAIN, SAXENA et al. - RICE KHARIF PRODUCTION ESTIMATION USING	True	RICE (KHARIF) PRODUCTION ESTIMATION USING SAR DATA OF DIFFERENT SATELLITES AND YIELD MODELS: A COMPARATIVE ANALYSIS OF THE ESTIMATES GENERATED UNDER FASAL PROJECT		['2. STUDY AREA', '3. MATERIALS AND METHODS', 'Methodology']	India; Rice; northeast India; India; Andhra Pradesh, Assam, Bihar, Chhattisgarh, Karnataka, Haryana,; Madhya Pradesh, Odisha, Punjab, Telangana, Tamil Nadu, Uttar Pradesh; West Bengal (; Assam, Bihar, Chhattisgarh,; Madhya Pradesh, Orissa, Eastern Uttar Pradesh; West Bengal; Haryana, Punjab, Western; Karnataka, Telangana; Tamil Nadu),; Uttar Pradesh (; Punjab (; West Bengal (; CCE; VCI; VCI	India; northeast India; India; Andhra Pradesh, Assam, Bihar, Chhattisgarh, Karnataka, Haryana,; Madhya Pradesh, Odisha, Punjab, Telangana, Tamil Nadu, Uttar Pradesh; West Bengal (; Assam, Bihar, Chhattisgarh,; Madhya Pradesh, Orissa, Eastern Uttar Pradesh; West Bengal; Haryana, Punjab, Western; Karnataka, Telangana; Punjab (; West Bengal (	['India is one of the largest producers of rice in the world, accounting for 20% of all world rice production.', 'It is grown in coastal areas, deltaic regions, northern plains and northeast India.', 'Study area for which kharif rice area estimation is carried out include 14 major rice growing states of India.', 'The states are Andhra Pradesh, Assam, Bihar, Chhattisgarh, Karnataka, Haryana, Jharkhand, Madhya Pradesh, Odisha, Punjab, Telangana, Tamil Nadu, Uttar Pradesh and West Bengal (Figure 1).', 'The eastern and north-eastern region comprising of Assam, Bihar, Chhattisgarh, Jharkhand, Madhya Pradesh, Orissa, Eastern Uttar Pradesh and West Bengal receive high rainfall in monsoon season and rice is grown for the most part under rain fed conditions.', 'The northern region consists of Haryana, Punjab, Western Uttar Pradesh, and southern (Andhra Pradesh, Karnataka, Telangana and Tamil Nadu), receive comparatively less rainfall and rice is grown mainly under irrigated conditions.', 'The states with higher contribution to national rice production include Uttar Pradesh (14%), Punjab (12%) and West Bengal (12%).']
KARILA, NEVALAINEN et al. - MONITORING CHANGES IN RICE CULTIVATED	True	Monitoring Changes in Rice Cultivated Area from SAR and Optical Satellite Images in Ben Tre and Tra Vinh Provinces in Mekong Delta, Vietnam	SAR; Mekong Delta, Vietnam	['2. Materials and Methods', '2.1. Study Area', '2.3. Methods']	Ben Tre; South China Sea in Vietnam; Mekong Delta region, Vietnam,; SAR; ERDAS; Centre de Traitement Doris Poseidon (; Range-Doppler; Frost; Ben Tre; ERDAS; ERDAS	South China Sea in Vietnam; Mekong Delta region, Vietnam,; Centre de Traitement Doris Poseidon (	['          Ben Tre and Tra Vinh provinces (Figure 1) are located on the coast of the South China Sea in Vietnam.', 'In the Mekong Delta region, Vietnam, salinity intrusion occurs in ocean coastal areas, where saline water moves into freshwater aquifers.', 'The SAR image processing included applying DORIS (The Doppler Orbitography and Radio-positioning Integrated by Satellite) precise orbit state vectors generated by the Centre de Traitement Doris Poseidon (CTDP) and radiometric correction using latest the ENVISAT auxiliary files.']
KENDUIYWO, BARGIEL et al. - CROP TYPE MAPPING	True	CROP TYPE MAPPING FROM A SEQUENCE OF TERRASAR-X IMAGES WITH DYNAMIC CONDITIONAL RANDOM FIELDS		['METHODS 2.1', 'Study area and data', 'Method']	Northern Germany (	Northern Germany (	['        The study area is located in Northern Germany (52:26 N, 9:84 E), see Fig.']
KENDUIYWO, BARGIEL et al. - SPATIALTEMPORAL CONDITIONAL RANDOM FIELDS CROP	True	SPATIAL-TEMPORAL CONDITIONAL RANDOM FIELDS CROP CLASSIFICATION FROM TERRASAR-X IMAGES		['2. Methods 2.1', 'Study site and data']	northern Germany (	northern Germany (	['        The study was conducted in northern Germany (52:26 N, 9:84 E) (Fig.']
KPIENBAAREH, SUN et al. - CROP TYPE AND LAND COVER	True	Article Crop Type and Land Cover Mapping in Northern Malawi Using the Integration of Sentinel-1, Sentinel-2, and PlanetScope Satellite Data		['2. Materials and Methods', '2.1. Study Area Description', 'Collocation']	Edundu village; Thimalala; northern Malawi (; Mzimba; northern Malawi; Malawi	Edundu village; Thimalala; northern Malawi (; Mzimba; northern Malawi; Malawi	['          The study was conducted in the Edundu village area (land area = ~29 km2) with center location of latitude 11 22.5450 S, longitude 33 46.9820 E, and Thimalala village area (land area = ~22 km2) with center location of latitude 11 16.7360 S, longitude 33 50.9950 E, in northern Malawi (Figure 1).', 'The study locations are in the Mzimba district in northern Malawi.', 'Maize is the most important subsistence crop cultivated in much of Malawi and is often intercropped with soybeans, groundnuts, beans, and pumpkins in the two study locations.']
KRAATZ, ROSE et al. - PERFORMANCE EVALUATION OF UAVSAR	True	Performance Evaluation of UAVSAR and Simulated NISAR Data for Crop/Noncrop Classification Over Stoneville, MS	UAVSAR; Stoneville, MS	['2. Study Area, Data Sets, and Processing', '2.1. Study Area', '3. Methods']	Lower Mississippi River Basin; Yazoo River Basin; Stoneville in Washington County, MS; USDA Agricultural Research Service's (; Production Systems Research Unit; NISAR's; Youden's; Cohen's	Lower Mississippi River Basin; Yazoo River Basin; Stoneville in Washington County, MS	['The study area is located in the Lower Mississippi River Basin and is part of the Big Sunflower River watershed within the Yazoo River Basin.', 'The study area (“Stoneville Site” in Figure\xa01) is located near Stoneville in Washington County, MS.']
KRAATZ, TORBICK et al. - COMPARISON BETWEEN DENSE LBAND	True	Comparison between Dense L-Band and C-Band Synthetic Aperture Radar (SAR) Time Series for Crop Area Mapping over a NISAR Calibration-Validation Site		['2. Materials', '2.1. Study Area', '3. Methods']	Canada; Carman; southwestern Manitoba, CA,; SAR; Carman,; Manitoba, Canada (; Canada (AAFC); Carman; Carman	Canada; southwestern Manitoba, CA,; Carman,; Manitoba, Canada (	['          The region of interest (ROI) for this study is situated in an area of agricultural importance to Canada.', 'Carman is located in southwestern Manitoba, CA, and this region has been a long term site of SAR research dating back to the Shuttle Imaging Radar C (SIR-C) mission.', 'The ROI is an agricultural hot spot located outside Carman, a small town located within Manitoba, Canada (Figure 1a).']
KUMARI, MURTHY et al. - SOYBEAN CROPLAND MAPPING USING MULTITEMPORAL	True	SOYBEAN CROPLAND MAPPING USING MULTI-TEMPORAL SENTINEL-1 DATA		['METHODOLOGY', '2.1 Study area']	Ujjain; Malwa Plateau, Madhya Pradesh at; Ujjain; Ujjain; Ujjain; Ujjain; Ujjain	Ujjain; Malwa Plateau, Madhya Pradesh at; Ujjain; Ujjain; Ujjain; Ujjain; Ujjain	['Ujjain district is situated in the heart of Malwa Plateau, Madhya Pradesh at a general elevation of 527 meter above mean sea level.', 'The normal annual rainfall of Ujjain district is 914.5 mm.', 'Ujjain district receive maximum rainfall (about 92.1%) during southwest monsoon period i.e.', 'The irrigation facilities in Ujjain district are moderate and groundwater is the main source of irrigation in the district.', 'Ujjain district is mainly agriculture-based district and its cropping pattern is diversified.', 'Study area: Ujjain district']
LA, R, L, FEITOSA et al. - COMBINING DEEP LEARNING AND PRIOR	False	Combining Deep Learning and Prior Knowledge for Crop Mapping in Tropical Regions from Multitemporal SAR Image Sequences		['2. Materials and Methods']			
LAMPROPOULOS, LI et al. - ADVANCEMENTS IN ESTIMATING CROP GROWTH	True	ADVANCEMENTS IN ESTIMATING CROP GROWTH STAGES USING RADARSAT-2 AND TERRASAR-X POLARIMETRIC DATA		['2. METHODOLOGY']	SHV		
LARRANAGA, ALVAREZ-MOZOS - ON THE ADDED VALUE	True	On the Added Value of Quad-Pol Data in a Multi-Temporal Crop Classification Framework Based on RADARSAT-2 Imagery		['2. Study Site and Dataset', '3. Methodology']	Pamplona (; Spain); Pauli	Pamplona (	['The study site corresponds to the agricultural areas surrounding the city of Pamplona (Figure 1), in central Navarre (North of Spain).']
LASKO, VADREVU et al. - MAPPING DOUBLE AND SINGLE CROP	False	NASA Public Access Author manuscript IEEE J Sel Top Appl Earth Obs Remote Sens. Author manuscript; available in PMC 2019 February 01. Published in final edited form as: IEEE J Sel Top Appl Earth Obs Remote Sens. 2018 February ; 11(2): 498-512. doi:10.1109/JSTARS. 2017.2784784.		[]			
LAURILA, KARJALAINEN et al. - INTEGRATING VEGETATION INDICES MODELS	False	Integrating Vegetation Indices Models and Phenological Classification with Composite SAR and Optical Data for Cereal Yield Estimation in Finland (Part I)	Optical Data for Cereal Yield Estimation in Finland (	['2.  Methodology and Study Area  ']	southern Finland; SAR	southern Finland	['The research applied in this study focused on utilizing multispectral optical and microwave SAR  data  extracted  from  experimental  sites  in  southern  Finland.']
LI, ZHANG et al. - A HYBRID OSVMOCNN METHOD	True	A hybrid OSVM-OCNN Method for Crop Classification from Fine Spatial Resolution Remotely Sensed Imagery		['2. Method']			
LI, ZHANG et al. - CROP CLASSIFICATION FROM FULLYEAR FULLYPOLARIMETRIC	True	Crop classification from full-year fully-polarimetric L-band UAVSAR time- series using the Random Forest algorithm		['2. Study area and data source', '2.1. Study area', '3. Methods']	Sacramento Valley, USA; Solano; Yolo counties of California,; Mediterranean,; United States; NASA JPL,; ASF); SAR; SAR	Sacramento Valley, USA; Solano; Yolo counties of California,; Mediterranean,; United States; SAR	['          The study area of this research is located at an agricultural region in the middle of the Sacramento Valley, USA.', 'It stretches over Solano and Yolo counties of California, with a size of about 11 km × 17 km (Fig.', 'The climate of this area is characterized as Mediterranean, with dry hot summers and wet cool winters                       .', 'Indeed, it is one of the most productive agricultural areas in the United States.', 'However, the effect of freezing on the SAR observations should be minimal given the relatively small amounts of precipitation on the data acquisition dates                   with air temperatures around freezing point (Table 1).']
LIAO, WANG et al. - SYNERGISTIC USE OF MULTITEMPORAL RADARSAT2	True	Synergistic Use of Multi-Temporal RADARSAT-2 and VEN S Data for Crop Classification Based on 1D Convolutional Neural Network		['2. Materials', '2.1. Study Site', '3. Methods']	Mixedwood Plains Ecozone Southwestern The; Mixedwood Plains Ecozone Southwestern Ontario (; Ontario (; Ground Truth Data	Mixedwood Plains Ecozone Southwestern The; Mixedwood Plains Ecozone Southwestern Ontario (; Ontario (	['The study site is located in the agricultural area in Mixedwood Plains Ecozone Southwestern The study site is located in the agricultural area in Mixedwood Plains Ecozone Southwestern Ontario (Figure 1), characterized by an abundant water supply and productive soils for agriculture.', 'Ontario (Figure 1), characterized by an abundant water supply and productive soils for agriculture.']
LIU, CHEN et al. - THE RESEARCH ON DRYLAND CROP	True	THE RESEARCH ON DRYLAND CROP CLASSIFICATION BASED ON THE FUSION OF SENTINEL-1A SAR AND OPTICAL IMAGES		['2. STUDY AREA AND DATA', '2.1 Study Area', '3. METHODS']	Nangong County; Xingtai City (; Hebei Province, China; Nangong County; North China Plain; French Guiana; IW SLC; Nangong County; China Centre for Resources Satellite Data	Nangong County; Xingtai City (; Hebei Province, China; Nangong County; North China Plain; French Guiana; Nangong County; China Centre for Resources Satellite Data	['Nangong County is selected as the study area, which belongs to Xingtai City (113°52′E~115°49′E and 36°50′N~37°47′N).', 'The county lies in the main grain producing area of Hebei Province, China.', 'Nangong County covers 863.3 km2 within the autumn harvesting corn and cotton growing region in the North China Plain.', 'Sentinel-1A is the first environmental satellite of the Copernicus global monitoring programme and was launched at April 3rd, 2014 in French Guiana.', 'We adopted one image of WFV sensor, covering the entire Nangong County.', 'With the calibration coefficient of each band provided by China Centre for Resources Satellite Data and Application, radiometric calibration of WFV data was carried out.']
LIU, WANG et al. - CROP DISTRIBUTION EXTRACTION BASED	False	Crop distribution extraction based on Sentinel data		['3 Method and technical process ']			
LOPEZ-ANDREU, ERENA et al. - SENTINEL2 IMAGES AND MACHINE LEARNING	True	Sentinel-2 Images and Machine Learning as Tool for Monitoring of the Common Agricultural Policy: Calasparra Rice as a Case Study		['2. Study Area', '3. Materials and Methods', '3.1. Materials', '3.3. Methodology']	Spain,; Murcia,; Sendra; Bomba; Regulatory Council of the; Hellín (Castilla La Mancha), Moratalla,; Copernicus Integrated Ground Segment (; Information Access Services (; Copernicus; DIAS; (Intel; Python; Universal Transverse Mercator (	Spain,; Murcia,	['         The area of interest for CbM—of the aid line associated with rice cultivation—is in the southeast of Spain, specifically in Calasparra (Coordinates: 38.13, 1.42) [                   ], which has an average elevation of between 300 and 500 m above sea level.', 'It is a homogeneous rice planting area with an approximate extension of 10 km 15 km, located in the northwest of Murcia, as shown in Figure 1.']
LU, TAO et al. - OBJECTBASED PLASTICMULCHED LANDCOVER EXTRACTION USING	True	Object-Based Plastic-Mulched Landcover Extraction Using Integrated Sentinel-1 and Sentinel-2 Data		['2. Study Area and Data Pre-Processing', '2.1. Study Area']	northern Xinjiang, China; Tbhueildstiundgsy,; Shoemateapnhdoctoorsno,; PML	northern Xinjiang, China	['A region in northern Xinjiang, China was chosen as the study area and covered a large area of cottoAn frielgdiownhienrenporlathsteircnmXuilncjhi ainngg,isCuhsienda 1w0a0%s.chTohseenregaiso nthies stituudaytedareina Sahnidheczoi vCeirteydbaet wlaeregne a4r4e°a24o′2f3c″oNtt–o4n4°fi41e′l1d2″wNhearnedp8la5s°t4i4c′1m9″uElc–h8i6n°g20i′s19u″sEedw1it0h0 %an.']
LUO, QI et al. - USING TIME SERIES SENTINEL1 IMAGES	True	Article Using Time Series Sentinel-1 Images for Object-Oriented Crop Classification in Google Earth Engine		['2. Materials and Methods']			
LUSSEM, HUTT et al. - COMBINED ANALYSIS OF SENTINEL1	True	COMBINED ANALYSIS OF SENTINEL-1 AND RAPIDEYE DATA FOR IMPROVED CROP TYPE CLASSIFICATION: AN EARLY SEASON APPROACH FOR RAPESEED AND CEREALS		['2. STUDY AREA AND DATA', '3. METHODS']	Germany; North Rhine-Westphalia; LULC	Germany; North Rhine-Westphalia	['The study area is part of the Rur-Watershed in North RhineWestphalia, Germany.', 'For a more accurate crop type classification an additional dataset of agricultural boundaries provided by the agricultural chamber of North Rhine-Westphalia was implemented to separate agricultural land and pasture from other land use/land cover (LULC) types (Waldhoff et al., 2012).']
MA - IMPROVING SAR TARGET RECOGNITION PERFORMANCE	False	Improving SAR Target Recognition Performance Using Multiple Preprocessing Techniques		['Method type']			
MAHDIANPARI, MOHAMMADIMANESH et al. - MIDSEASON CROP CLASSIFICATION USING DUAL	True	Mid-season Crop Classification Using Dual-, Compact-, and Full-Polarization in Preparation for the Radarsat Constellation Mission (RCM)		['2. Study Area and Dataset']	Red River Watershed, Manitoba, Canada (; Manitoba; NASA	Red River Watershed, Manitoba, Canada (; Manitoba	['The study area is an agricultural area located in the Red River Watershed, Manitoba, Canada (Figure 1).', 'Southern Manitoba is characterized by a typical sub-humid to a humid continental climate, and experiences temperature variations between 30 C and 30 C [20].']
MASHABA-MUNGHEMEZULU, CHIRIMA et al. - DELINEATING SMALLHOLDER MAIZE FARMS	True	Delineating Smallholder Maize Farms from Sentinel-1 Coupled with Sentinel-2 Data Using Machine Learning		['2. Materials and Methods', '2.1. Study Area']	Makhuduthamaga; Limpopo, South Africa (; u47r2a8l Research Council	Makhuduthamaga; Limpopo, South Africa (	['          The field data were collected from the Makhuduthamaga district in Limpopo, South Africa (Figure 1).']
MEHTA, PARIHAR et al. - DISCRIMINATION BETWEEN BABUL PLANTATIONS	True	Discrimination between Babul plantations and Mustard crop using Polarimetric C- and L- band data		['Material and Methods']	Jaisalmer; Rajasthan (; Babul; Thar Desert; Radarsat; Radarsat	Jaisalmer; Rajasthan (; Thar Desert	['The study area lies in Jaisalmer district, Rajasthan (Fig.', 'The area forms a part of Thar Desert.']
MINH, AVTAR et al. - MONITORING AND MAPPING OF RICE	True	Monitoring and Mapping of Rice Cropping Pattern in Flooding Area in the Vietnamese Mekong Delta Using Sentinel-1A Data: A Case of An Giang Province	Flooding Area in the	['2. Materials and Methods', '2.1. Study Area']	Giang province,; Lower Mekong river; Vietnam (; An Giang; Bassac; Mekong Rivers; Giang; Cambodia in the Northwest; Giang	Giang province,; Lower Mekong river; Vietnam (; Bassac; Cambodia in the Northwest	['          The study site is located in the An Giang province, which belongs to upstream of the Lower Mekong river basin in Vietnam (Figure 1).', 'The rice production depends heavily on the freshwater availability and sediment supplied from the Bassac and Mekong Rivers [                       ].', 'An Giang has an area of 3406 sq.km and borders with Cambodia in the Northwest.']
MIRZAEE, MOTAGH et al. - CLASSIFICATION OF AGRICULTURAL FIELDS USING	True	Classification of agricultural fields using time series of dual polarimetry TerraSAR-X images		['2.1 Study area']	north east of Doroud city in Lorestan province, Iran	north east of Doroud city in Lorestan province, Iran	['Our test site is located in the north east of Doroud city in Lorestan province, Iran.']
MOHITE, SAWANT et al. - OPERATIONAL NEAR REAL TIME RICE	True	OPERATIONAL NEAR REAL TIME RICE AREA MAPPING USING MULTI-TEMPORAL SENTINEL-1 SAR OBSERVATIONS		['Study Area']	AP; Guntur, Krishna, West; East Godavari; Krishna rivers (; Rice; Rabi; Cotton, Chilli,; GLC; ESA,; Andhra Pradesh	Guntur, Krishna, West; East Godavari; Cotton, Chilli,; Andhra Pradesh	['         The study on rice area mapping has been carried out in the four districts from coastal AP namely Guntur, Krishna, West and East Godavari.', 'Other crops cultivated in the region are Sugarcane, Cotton, Chilli, Pulses, Coconut, etc.', 'In this study we have used Sentinel-1A and 1B satellite imagery, GLC dataset                   developed by ESA, ground truth data collected from the field visits and mKRISHI R and crop acreage statistics from department of agriculture, Andhra Pradesh.']
MOHITE, SAWANT et al. - WHEAT AREA MAPPING AND PHENOLOGY	True	WHEAT AREA MAPPING AND PHENOLOGY DETECTION USING SYNTHETIC APERTURE RADAR AND MULTI-SPECTRAL REMOTE SENSING OBSERVATIONS		['2.1 Study Area']	Punjab; Haryana states of India (; Punjab; Bhatinda, Fatehgarh Sahib, Ludhiana, Mansa, Moga, Patiala, Rupnagar; Sangrur; Ambala,; Yamunanagar, Kaithal,; Kurukshetra, Panchkula; Panipat; Haryana; India,; PunjabHaryana; Rabi; Rice	Punjab; Haryana states of India (; Punjab; Bhatinda, Fatehgarh Sahib, Ludhiana, Mansa, Moga, Patiala, Rupnagar; Sangrur; Ambala,; Yamunanagar, Kaithal,; Kurukshetra, Panchkula; Panipat; Haryana; India,	['The study area is located in Punjab and Haryana states of India (Figure 1).', 'The districts selected from the Punjab are Bhatinda, Fatehgarh Sahib, Ludhiana, Mansa, Moga, Patiala, Rupnagar and Sangrur.', 'The districts such as Ambala, Sonepat, Yamunanagar, Kaithal, Karnal, Kurukshetra, Panchkula and Panipat are selected from Haryana.', 'Wheat is one of the important cereal crops cultivated all across India, with PunjabHaryana being the prime contributor states to the total production.']
MOUMNI, LAHROUNI - MACHINE LEARNINGBASED CLASSIFICATION FOR CROPTYPE	True	Machine Learning-Based Classification for Crop-Type Mapping Using the Fusion of High-Resolution Satellite Imagery in a Semiarid Area		['2. Materials and Methods', '3. Methodology']	Haouz; Marrakech-Safi; central Morocco; Sidi Rahal region; Marrakech (; Google Earth Archives; Google; CNES; Haouz; Morocco); MAJA; NDVI, VV, VH,; NDVI,	Haouz; Marrakech-Safi; central Morocco; Sidi Rahal region; Marrakech (	[')e plain of Haouz is a vast plain of 6000 km 2 of surface which stretches over a length of approximately 150 km from east to west in the region of Marrakech-Safi located in central Morocco and including part of the HautAtlas.', '        In this work, we are interested in the left part of the irrigated sectors, in the Haouz plain, called R3 perimeter and located in the Sidi Rahal region about 40 km east of the city of Marrakech (Figure 1).']
MURAD - INVESTIGATION OF THE GROUNDWATER SUITABILITY	True	INVESTIGATION OF THE GROUNDWATER SUITABILITY FOR IRRIGATION PRACTICES IN AN ARID REGION: CASE STUDY		['2. MATERIALS AND METHODS']	UAE; Arabian Peninsula; Al Hayer; Al Ain; Abu Dhabi Emirate (; Meteorological Department of National Authority of; Al Ain; Al Ain region; Al Ain; Al Ain region; (EC); Hydrogeology Laboratory at UAE University; Soluble Sodium Percentage (	UAE; Arabian Peninsula; Al Ain; Abu Dhabi Emirate (; Meteorological Department of National Authority of; Al Ain; Al Ain region; Hydrogeology Laboratory at UAE University	['The UAE is located in the southeastern part of the Arabian Peninsula between latitudes 22° 40’ and 26° 00’ N and longitudes 51° 00’ and 56° 00’ E. The study area namely Al Hayer is situated within the northern part of Al Ain area and northeastern part of Abu Dhabi Emirate (Fig.', 'Based on rainfall data from 1995-August 2007 obtained from the Meteorological Department of National Authority of Communication- UAE, the rainfall amount in Al Ain area varied between 0.2 mm in April 1998 to 58.8 mm in April 2003.', 'The maximum annual average of rainfall in Al Ain region was 0.5 mm in 1996, whereas the minimum annual average was nearly zero in 2001.', 'The collected water samples were transported to the Hydrogeology Laboratory at UAE University for further analyses.']
